date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:38	22/22	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202026%2017:32:37%20GMT	https://geocities.live/robots.txt		(from )
19:32:38	46647/46647	---M--	200	added ('OK')	text/html	etag:%221768393643.0-46647-1000148865%22	https://geocities.live/	./sitecopy/geocities.live/index.html	(from )
19:32:38	1937/1937	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-1937-4266136500%22	https://geocities.live/img/test/computer.gif	./sitecopy/geocities.live/img/test/computer.gif	(from https://geocities.live/)
19:32:39	340/340	---M--	200	added ('OK')	application/json	etag:%221768391423.0-340-1829966021%22	https://geocities.live/manifest.json	./sitecopy/geocities.live/manifest.json	(from https://geocities.live/)
19:32:41	815913/815913	---M--	200	added ('OK')	image/png	etag:%221768391423.0-815913-1388254565%22	https://geocities.live/img/geocities_live_og.png	./sitecopy/geocities.live/img/geocities_live_og.png	(from https://geocities.live/)
19:32:42	18387/18387	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-18387-2667319705%22	https://geocities.live/img/microfab.gif	./sitecopy/geocities.live/img/microfab.gif	(from https://geocities.live/)
19:32:42	47162/47162	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-47162-2072973518%22	https://geocities.live/img/flames.gif	./sitecopy/geocities.live/img/flames.gif	(from https://geocities.live/)
19:32:44	20655/20655	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-20655-2660372880%22	https://geocities.live/img/test/hot.gif	./sitecopy/geocities.live/img/test/hot.gif	(from https://geocities.live/)
19:32:44	3056/3056	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-3056-310842385%22	https://geocities.live/img/test/yahooweek.gif	./sitecopy/geocities.live/img/test/yahooweek.gif	(from https://geocities.live/)
19:32:45	570/570	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-570-2660176271%22	https://geocities.live/img/test/new.gif	./sitecopy/geocities.live/img/test/new.gif	(from https://geocities.live/)
19:32:46	1111/1111	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-1111-3911848739%22	https://geocities.live/img/test/ie_logo.gif	./sitecopy/geocities.live/img/test/ie_logo.gif	(from https://geocities.live/)
19:32:48	9959/9959	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-9959-2947813825%22	https://geocities.live/img/test/new2.gif	./sitecopy/geocities.live/img/test/new2.gif	(from https://geocities.live/)
19:32:48	1122/1122	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-1122-2691305931%22	https://geocities.live/img/progress.gif	./sitecopy/geocities.live/img/progress.gif	(from https://geocities.live/)
19:32:50	29602/29602	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-29602-949425218%22	https://geocities.live/img/test/computer-01.gif	./sitecopy/geocities.live/img/test/computer-01.gif	(from https://geocities.live/)
19:32:51	3925/3925	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-3925-3925218096%22	https://geocities.live/img/test/notepad.gif	./sitecopy/geocities.live/img/test/notepad.gif	(from https://geocities.live/)
19:32:51	1929/1929	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-1929-4267840437%22	https://geocities.live/img/test/webtrips.gif	./sitecopy/geocities.live/img/test/webtrips.gif	(from https://geocities.live/)
19:32:53	5762/5762	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-5762-316544042%22	https://geocities.live/img/test/community.gif	./sitecopy/geocities.live/img/test/community.gif	(from https://geocities.live/)
19:32:54	10093/10093	---M--	200	added ('OK')	image/gif	etag:%221743330009.0-10093-3930592069%22	https://geocities.live/img/test/counter.gif	./sitecopy/geocities.live/img/test/counter.gif	(from https://geocities.live/)
